Metabolite_physical,Weight_physical,Direction_physical,Rank_physical,Stability_physical,AbsWeight_physical
34949,-0.060743926,Negative,1,1,0.060743926
77068,0.059759549,Positive,2,1,0.059759549
30079,-0.059603276,Negative,3,1,0.059603276
51049,-0.056187644,Negative,4,1,0.056187644
79392,0.054665944,Positive,5,1,0.054665944
40049,0.054286485,Positive,6,1,0.054286485
44954,0.053417231,Positive,7,1,0.053417231
7275,-0.05333897,Negative,8,1,0.05333897
39337,0.053295185,Positive,9,1,0.053295185
8058,0.052240785,Positive,10,1,0.052240785
122257,0.051747279,Positive,11,1,0.051747279
33253,0.05063104,Positive,12,1,0.05063104
22199,-0.050383733,Negative,13,1,0.050383733
34737,0.05022543,Positive,14,1,0.05022543
89371,0.050002185,Positive,15,1,0.050002185
99717,0.049980688,Positive,16,1,0.049980688
34195,-0.049976455,Negative,17,1,0.049976455
20867,-0.049659834,Negative,18,1,0.049659834
45663,0.04874881,Positive,19,1,0.04874881
52508,0.048624643,Positive,20,1,0.048624643
14167,-0.048421983,Negative,21,1,0.048421983
34448,-0.048332977,Negative,22,1,0.048332977
42552,-0.048181363,Negative,23,1,0.048181363
64948,0.048125367,Positive,24,1,0.048125367
35531,-0.048020295,Negative,25,1,0.048020295
52512,0.04795606,Positive,26,1,0.04795606
26313,-0.047758702,Negative,27,1,0.047758702
53074,0.047290977,Positive,28,1,0.047290977
58867,-0.047147674,Negative,29,1,0.047147674
26589,-0.047107538,Negative,30,1,0.047107538
77192,-0.046998964,Negative,31,1,0.046998964
22020,-0.046674811,Negative,32,1,0.046674811
24097,-0.046535146,Negative,33,1,0.046535146
41055,0.046530921,Positive,34,1,0.046530921
106337,0.046482095,Positive,35,1,0.046482095
46330,0.046475829,Positive,36,1,0.046475829
29019,0.046255402,Positive,37,1,0.046255402
13449,0.045871812,Positive,38,1,0.045871812
41779,-0.045791517,Negative,39,1,0.045791517
11635,-0.045119402,Negative,40,1,0.045119402
82160,0.044842271,Positive,41,1,0.044842271
107248,0.044388521,Positive,42,1,0.044388521
80681,-0.044321854,Negative,43,1,0.044321854
20330,-0.044287235,Negative,44,1,0.044287235
71700,-0.044064268,Negative,45,1,0.044064268
136475,0.044059454,Positive,46,1,0.044059454
15518,-0.043938468,Negative,47,1,0.043938468
40671,0.043878068,Positive,48,1,0.043878068
18442,0.043825658,Positive,49,1,0.043825658
11112,-0.043636599,Negative,50,1,0.043636599
3653,-0.043633148,Negative,51,1,0.043633148
71371,0.043482398,Positive,52,1,0.043482398
16181,0.043282268,Positive,53,1,0.043282268
141286,0.043156555,Positive,54,1,0.043156555
10712,-0.042953783,Negative,55,1,0.042953783
52594,-0.042807231,Negative,56,1,0.042807231
26370,0.042681937,Positive,57,1,0.042681937
45662,0.042623619,Positive,58,1,0.042623619
46144,0.042531456,Positive,59,1,0.042531456
28028,0.042496358,Positive,60,1,0.042496358
22028,-0.042374849,Negative,61,1,0.042374849
68811,0.042181519,Positive,62,1,0.042181519
96299,0.041700931,Positive,63,1,0.041700931
45685,0.041588825,Positive,64,1,0.041588825
18560,-0.041497301,Negative,65,1,0.041497301
103401,0.041234804,Positive,66,1,0.041234804
33126,0.041145271,Positive,67,1,0.041145271
34556,-0.040980693,Negative,68,1,0.040980693
5854,-0.040979663,Negative,69,1,0.040979663
115823,0.040922169,Positive,70,1,0.040922169
24491,-0.040851094,Negative,71,1,0.040851094
23351,-0.040509283,Negative,72,1,0.040509283
32365,-0.040239864,Negative,73,1,0.040239864
14321,-0.040193353,Negative,74,1,0.040193353
8404,-0.040182557,Negative,75,1,0.040182557
20397,-0.039885247,Negative,76,1,0.039885247
55146,0.039826771,Positive,77,1,0.039826771
21818,0.039735033,Positive,78,1,0.039735033
87092,0.039732147,Positive,79,1,0.039732147
86352,0.039568658,Positive,80,1,0.039568658
71071,0.039490702,Positive,81,1,0.039490702
104571,0.039418821,Positive,82,1,0.039418821
68872,0.039368917,Positive,83,1,0.039368917
33330,-0.039198989,Negative,84,1,0.039198989
68764,0.039122931,Positive,85,1,0.039122931
73688,-0.038802368,Negative,86,1,0.038802368
61069,-0.038717137,Negative,87,1,0.038717137
58641,0.038578849,Positive,88,1,0.038578849
84620,0.038431534,Positive,89,1,0.038431534
13115,0.038198539,Positive,90,1,0.038198539
107906,0.038129244,Positive,91,1,0.038129244
127564,0.038104031,Positive,92,1,0.038104031
68821,0.038101235,Positive,93,1,0.038101235
66992,-0.03796699,Negative,94,1,0.03796699
68869,0.037944508,Positive,95,1,0.037944508
32608,-0.03790887,Negative,96,1,0.03790887
56188,0.037881212,Positive,97,1,0.037881212
27917,-0.037826108,Negative,98,1,0.037826108
46167,0.037808726,Positive,99,1,0.037808726
14032,-0.03761939,Negative,100,1,0.03761939
17165,0.037607004,Positive,101,1,0.037607004
41194,-0.037551728,Negative,102,1,0.037551728
41142,0.037533748,Positive,103,1,0.037533748
136429,0.037500903,Positive,104,1,0.037500903
56197,-0.037386132,Negative,105,1,0.037386132
80141,0.037379365,Positive,106,1,0.037379365
20855,-0.037296389,Negative,107,1,0.037296389
