formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,compoundId,mappingFeatureId,overallFeatureQuality
1,C6H15N2O4S,[M + Na]+,C6H15N2NaO4S+,Amino acids and Peptides,0.917,Small peptides,0.668,N-acyl amines,0.276,Organic acids and derivatives,0.888,Carboxylic acids and derivatives,0.787,"Amino acids, peptides, and analogues",0.600,Amino acids and derivatives,0.593,Amino acids and derivatives,0.593,"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",234.065,42,0.700,830130142595684452,830129515257810705,830129515257810704,4790,
1,C7H15N3O2,[M + H]+,C7H16N3O2+,Amino acids and Peptides,0.756,Small peptides,0.883,Aminoacids,0.710,Organic acids and derivatives,0.988,Carboxylic acids and derivatives,0.984,"Amino acids, peptides, and analogues",0.819,Amino acids and derivatives,0.818,Gamma amino acids and derivatives,0.689,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Straight chain fatty acids; Amino acids and derivatives; Guanidines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Gamma amino acids and derivatives; Amines; Carboximidamides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",174.124,42,0.701,830130105593524837,830129503736056342,830129503731862037,2933,
1,C15H15N3O2S,[M + H]+,C15H16N3O2S+,Amino acids and Peptides,0.962,Small peptides,0.969,Dipeptides,0.723,Organic acids and derivatives,0.999,Carboxylic acids and derivatives,0.994,"Amino acids, peptides, and analogues",0.960,Amino acids and derivatives,0.958,Histidine and derivatives,0.808,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",302.095,42,0.702,830130105585136218,830129527249327481,830129527249327480,4814,
1,C7H13N3O3S3,[M + H]+,C7H14N3O3S3+,Amino acids and Peptides,0.923,Oligopeptides,0.258,Tantazoles and mirabazoles,0.103,Organic acids and derivatives,0.812,Organic sulfonic acids and derivatives,0.468,Organosulfonic acids and derivatives,0.465,Organosulfonamides,0.513,Organosulfonamides,0.513,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Sulfonyls; Organosulfonamides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,284.020,42,0.704,830130107921364105,830129524099404712,830129524099404711,4842,
1,C9H11ClN4O6,[M + H]+,C9H12ClN4O6+,Carbohydrates,0.999,Nucleosides,0.998,Purine nucleosides,0.989,"Nucleosides, nucleotides, and analogues",0.982,Purine nucleosides,0.862,,,,,Purine nucleosides,0.862,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Purine nucleosides; Purinones; Aryl chlorides; Diazines; Pentoses; 6-oxopurines; Organochlorides; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Tetrahydrofurans; Aryl halides; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",307.044,42,0.706,830130106256225034,830129527685535177,830129527685535176,4856,
1,C10H19NO2,[M + H]+,C10H20NO2+,Fatty acids,0.512,Small peptides,0.476,Aminoacids,0.439,Organic acids and derivatives,0.994,Carboxylic acids and derivatives,0.992,"Amino acids, peptides, and analogues",0.908,Amino acids and derivatives,0.909,Amino acids and derivatives,0.909,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",186.149,43,0.712,830130098345766032,830129505870957303,830129505870957302,4874,
1,C14H27NO12,[M + H]+,C14H28NO12+,Carbohydrates,0.993,Saccharides,0.924,Aminosugars,0.439,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.998,Sugar acids and derivatives,0.975,Glucuronides,0.905,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Glucuronides; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Disaccharides; Acetals; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; O-glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,402.160,43,0.712,830130109590697547,830129538766887970,830129538766887969,4905,
1,C8H21N5O2,[M + Na]+,C8H21N5NaO2+,Amino acids and Peptides,0.691,Small peptides,0.808,Aminoacids,0.619,Organic nitrogen compounds,1.000,Organonitrogen compounds,1.000,Guanidines,0.619,,,Guanidines,0.619,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Guanidines; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,242.158,43,0.712,830130106684044152,830129517132664848,830129517128470543,4907,
1,C11H20N4O5,[M + H]+,C11H21N4O5+,Amino acids and Peptides,1.000,Small peptides,0.998,Tripeptides,0.992,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.999,Peptides,0.999,Oligopeptides,0.986,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities",289.151,43,0.713,830130567369743875,830129525194118211,830129525189923906,4924,
1,C9H17N3O4,[M + Na]+,C9H17N3NaO4+,Amino acids and Peptides,0.991,Small peptides,0.994,Aminoacids,0.835,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.988,Amino acids and derivatives,0.988,Alpha amino acids,0.883,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",254.112,43,0.716,830130108277880011,830129519217234211,830129519217234210,4945,
