"Metabolite","Weight","Direction","Rank","Stability"
"34949",-0.060743926318153,"Negative",1,1
"77068",0.0597595485962933,"Positive",2,1
"30079",-0.0596032756376112,"Negative",3,1
"51049",-0.0561876439789345,"Negative",4,1
"79392",0.0546659437811245,"Positive",5,1
"40049",0.054286484642554,"Positive",6,1
"44954",0.0534172314833361,"Positive",7,1
"7275",-0.0533389701569086,"Negative",8,1
"39337",0.0532951845486211,"Positive",9,1
"8058",0.0522407854234248,"Positive",10,1
"122257",0.0517472786463786,"Positive",11,1
"33253",0.0506310398442044,"Positive",12,1
"22199",-0.0503837334229103,"Negative",13,1
"34737",0.0502254304992691,"Positive",14,1
"89371",0.0500021850579335,"Positive",15,1
"99717",0.049980687679308,"Positive",16,1
"34195",-0.0499764548256799,"Negative",17,1
"20867",-0.0496598336275635,"Negative",18,1
"45663",0.0487488104546058,"Positive",19,1
"52508",0.0486246428204522,"Positive",20,1
"14167",-0.0484219832992918,"Negative",21,1
"34448",-0.0483329769095027,"Negative",22,1
"42552",-0.04818136274827,"Negative",23,1
"64948",0.0481253669930516,"Positive",24,1
"35531",-0.0480202946943025,"Negative",25,1
"52512",0.047956059643511,"Positive",26,1
"26313",-0.0477587020179051,"Negative",27,1
"53074",0.0472909770206999,"Positive",28,1
"58867",-0.0471476739656671,"Negative",29,1
"26589",-0.0471075380331701,"Negative",30,1
"77192",-0.0469989635749969,"Negative",31,1
"22020",-0.0466748112865542,"Negative",32,1
"24097",-0.0465351459240104,"Negative",33,1
"41055",0.0465309213590025,"Positive",34,1
"106337",0.0464820950730727,"Positive",35,1
"46330",0.0464758294597516,"Positive",36,1
"29019",0.0462554018452724,"Positive",37,1
"13449",0.045871812013531,"Positive",38,1
"41779",-0.0457915171492126,"Negative",39,1
"11635",-0.0451194023502286,"Negative",40,1
"82160",0.0448422708109028,"Positive",41,1
"107248",0.0443885208630809,"Positive",42,1
"80681",-0.0443218535977558,"Negative",43,1
"20330",-0.044287235450036,"Negative",44,1
"71700",-0.0440642679045158,"Negative",45,1
"136475",0.0440594540723969,"Positive",46,1
"15518",-0.0439384683768993,"Negative",47,1
"40671",0.0438780684439957,"Positive",48,1
"18442",0.0438256581365527,"Positive",49,1
"11112",-0.0436365987842135,"Negative",50,1
"3653",-0.0436331475515037,"Negative",51,1
"71371",0.0434823976524755,"Positive",52,1
"16181",0.0432822680480679,"Positive",53,1
"141286",0.0431565548053982,"Positive",54,1
"10712",-0.0429537829579757,"Negative",55,1
"52594",-0.042807231400873,"Negative",56,1
"26370",0.0426819369557764,"Positive",57,1
"45662",0.0426236193706827,"Positive",58,1
"46144",0.0425314562723233,"Positive",59,1
"28028",0.0424963576625595,"Positive",60,1
"22028",-0.0423748491065563,"Negative",61,1
"68811",0.0421815186389462,"Positive",62,1
"96299",0.041700931151914,"Positive",63,1
"45685",0.0415888250873036,"Positive",64,1
"18560",-0.0414973008468101,"Negative",65,1
"103401",0.0412348035471647,"Positive",66,1
"33126",0.0411452712105102,"Positive",67,1
"34556",-0.0409806925563379,"Negative",68,1
"5854",-0.0409796630136422,"Negative",69,1
"115823",0.0409221692188825,"Positive",70,1
"24491",-0.0408510938174042,"Negative",71,1
"23351",-0.0405092829961484,"Negative",72,1
"32365",-0.0402398641541883,"Negative",73,1
"14321",-0.0401933531430586,"Negative",74,1
"8404",-0.0401825567362912,"Negative",75,1
"20397",-0.0398852467314476,"Negative",76,1
"55146",0.0398267713546896,"Positive",77,1
"21818",0.0397350332381028,"Positive",78,1
"87092",0.0397321468600608,"Positive",79,1
"86352",0.0395686576414484,"Positive",80,1
"71071",0.0394907015675362,"Positive",81,1
"104571",0.0394188210245962,"Positive",82,1
"68872",0.0393689174306068,"Positive",83,1
"33330",-0.0391989893049762,"Negative",84,1
"68764",0.0391229308750812,"Positive",85,1
"73688",-0.0388023675100646,"Negative",86,1
"61069",-0.0387171365612521,"Negative",87,1
"58641",0.0385788488653358,"Positive",88,1
"84620",0.038431533594584,"Positive",89,1
"13115",0.0381985394779086,"Positive",90,1
"107906",0.0381292440750348,"Positive",91,1
"127564",0.0381040310744768,"Positive",92,1
"68821",0.038101234919432,"Positive",93,1
"66992",-0.0379669899936037,"Negative",94,1
"68869",0.037944508307984,"Positive",95,1
"32608",-0.0379088701288836,"Negative",96,1
"56188",0.0378812122353689,"Positive",97,1
"27917",-0.0378261083222687,"Negative",98,1
"46167",0.0378087261655628,"Positive",99,1
"14032",-0.0376193899155812,"Negative",100,1
"17165",0.0376070040025986,"Positive",101,1
"41194",-0.0375517280171413,"Negative",102,1
"41142",0.0375337479012519,"Positive",103,1
"136429",0.0375009032220613,"Positive",104,1
"56197",-0.037386132026804,"Negative",105,1
"80141",0.0373793650946572,"Positive",106,1
"20855",-0.0372963885775989,"Negative",107,1
"68379",0.0372470539333751,"Positive",108,1
"92193",0.0371306213531804,"Positive",109,1
"9719",-0.0371075766288834,"Negative",110,1
"27206",-0.0370938362962302,"Negative",111,1
"85526",0.0369159934873531,"Positive",112,1
"71530",0.0368477762350452,"Positive",113,1
"137300",-0.0368146208759385,"Negative",114,1
"5897",-0.0366310054676994,"Negative",115,1
"23716",-0.0364874429589835,"Negative",116,1
"71446",0.0364865741644575,"Positive",117,1
"80546",0.0364693538067241,"Positive",118,1
"49797",-0.0364463472930205,"Negative",119,1
"93083",0.0364164468829894,"Positive",120,1
"22672",-0.0364142312514511,"Negative",121,1
"136358",0.0363963871301004,"Positive",122,1
"10698",-0.0363776225339354,"Negative",123,1
"92223",0.0363089554927169,"Positive",124,1
"65404",-0.0362871788120403,"Negative",125,1
"90944",0.0362742236189206,"Positive",126,1
"59657",-0.0362716464043444,"Negative",127,1
"40740",0.0362504699450247,"Positive",128,1
"32253",-0.0362112590563699,"Negative",129,1
"9526",-0.0361392040554163,"Negative",130,1
"86635",0.0361065155574726,"Positive",131,1
"89927",0.0361035270328522,"Positive",132,1
"71570",0.0361004180067473,"Positive",133,1
"87633",0.0360823700160661,"Positive",134,1
"26806",-0.0360822636150289,"Negative",135,1
"79771",0.0360157015257715,"Positive",136,1
"31053",-0.0359968048936128,"Negative",137,1
"15482",-0.0359719098086367,"Negative",138,1
"82517",0.0359319810975973,"Positive",139,1
"68833",0.0359221729544763,"Positive",140,1
"89772",0.0357868264033859,"Positive",141,1
"87606",0.0357821407156672,"Positive",142,1
"69033",0.0357011049504314,"Positive",143,1
"68797",0.0356409058882371,"Positive",144,1
"83180",0.0354813480893495,"Positive",145,1
"69232",-0.0354346507697348,"Negative",146,1
"84417",0.0354116060762816,"Positive",147,1
"71438",0.0353232394810047,"Positive",148,1
"32474",-0.0352992265441046,"Negative",149,1
"10626",-0.0352913566367333,"Negative",150,1
"45589",0.0352673672473209,"Positive",151,1
"18768",-0.0352402972438861,"Negative",152,1
"69023",0.0350487483477446,"Positive",153,1
"22735",-0.0349989599351736,"Negative",154,1
"82645",0.0349943921604946,"Positive",155,1
"27102",-0.0349872179756083,"Negative",156,1
"68809",0.0349283642770153,"Positive",157,1
"78393",0.034914020299607,"Positive",158,1
"24574",0.0348995938036869,"Positive",159,1
"78004",-0.0348598838979813,"Negative",160,1
"104087",0.0347785290867107,"Positive",161,1
"102880",0.034772269914964,"Positive",162,1
"46997",-0.0347665746882604,"Negative",163,1
"33022",0.0347455445291297,"Positive",164,1
"10059",-0.0346530542417786,"Negative",165,1
"83953",0.034648652899507,"Positive",166,1
"90515",0.0346041439393219,"Positive",167,1
"24434",-0.0345669932706467,"Negative",168,1
"83876",0.0345135786909851,"Positive",169,1
"90915",0.0343884818016632,"Positive",170,1
"19780",0.0343431987252029,"Positive",171,1
"102679",0.034273416037949,"Positive",172,1
"60425",-0.034263411625443,"Negative",173,1
"34352",-0.0342454323884645,"Negative",174,1
"32167",-0.0342413924183841,"Negative",175,1
"37232",-0.0341947688729062,"Negative",176,1
"47162",0.0341836751140272,"Positive",177,1
"77692",0.0341351896491883,"Positive",178,1
"17076",-0.0340722470323007,"Negative",179,1
"58934",0.0339622779119586,"Positive",180,1
"49233",0.0339047195470059,"Positive",181,1
"86872",0.0338028630945515,"Positive",182,1
"4874",-0.0337929905638591,"Negative",183,1
"89494",0.0336833392443668,"Positive",184,1
"15620",0.033632957084517,"Positive",185,1
"49383",-0.0335768803362331,"Negative",186,1
"68947",0.0335753960148659,"Positive",187,1
"74560",0.0335670532387084,"Positive",188,1
"7221",-0.0335573426070908,"Negative",189,1
"76794",0.0335409754125688,"Positive",190,1
"47177",0.0335090673031469,"Positive",191,1
"43306",-0.0334914280144277,"Negative",192,1
"45640",0.0334060668837737,"Positive",193,1
"26316",-0.0334021798962658,"Negative",194,1
"80107",0.0333914807441281,"Positive",195,1
"41052",0.0333876162208359,"Positive",196,1
"35478",-0.0333685232577011,"Negative",197,1
"88623",0.0333380340182041,"Positive",198,1
