"Metabolite","Weight","Direction","Rank","Stability"
"71371",0.0619311472373092,"Positive",1,1
"30079",-0.0608981335852847,"Negative",2,1
"34737",0.0592635816539195,"Positive",3,1
"46330",0.0587520251409611,"Positive",4,1
"44954",0.058186859046465,"Positive",5,1
"122257",0.0581294562604385,"Positive",6,1
"33253",0.0580793090003489,"Positive",7,1
"34448",-0.0566611152800777,"Negative",8,1
"80681",-0.0559153104411341,"Negative",9,1
"51049",-0.0556700024982397,"Negative",10,1
"24491",-0.0555920563703352,"Negative",11,1
"64948",0.0550247404907289,"Positive",12,1
"41142",0.0547635975180376,"Positive",13,1
"35247",0.0546977934701376,"Positive",14,1
"39337",0.0542131837283198,"Positive",15,1
"40049",0.0540497409003775,"Positive",16,1
"33126",0.0538754877982875,"Positive",17,1
"99717",0.0537452224878432,"Positive",18,1
"22199",-0.053261573339463,"Negative",19,1
"77068",0.0530327742246084,"Positive",20,1
"7275",-0.0529506872345897,"Negative",21,1
"34949",-0.0529207006350183,"Negative",22,1
"52508",0.0524361512425571,"Positive",23,1
"52512",0.0514171572880032,"Positive",24,1
"12391",0.0513657600402874,"Positive",25,1
"71700",-0.051150927861915,"Negative",26,1
"4874",-0.0511455470077157,"Negative",27,1
"45663",0.0510345103521671,"Positive",28,1
"24434",-0.0507332067157178,"Negative",29,1
"24097",-0.0502116834911492,"Negative",30,1
"14167",-0.049647904558227,"Negative",31,1
"77192",-0.0496378422989495,"Negative",32,1
"26313",-0.0495522097699525,"Negative",33,1
"107248",0.0495254263175575,"Positive",34,1
"41055",0.0491149353207672,"Positive",35,1
"47162",0.0489657312878202,"Positive",36,1
"80141",0.0488847762723003,"Positive",37,1
"21818",0.0486623012786399,"Positive",38,1
"35531",-0.0485880443445139,"Negative",39,1
"46144",0.0484042236932163,"Positive",40,1
"66650",-0.0478115257451853,"Negative",41,1
"10266",0.0476277618758476,"Positive",42,1
"32365",-0.0473058990453244,"Negative",43,1
"15482",-0.0470272544147532,"Negative",44,1
"29448",0.046810692199882,"Positive",45,1
"45662",0.0467092580309614,"Positive",46,1
"28140",-0.046660486737373,"Negative",47,1
