Metabolite_physical,Weight_physical,Direction_physical,Rank_physical,Stability_physical,AbsWeight_physical,Compound_Name_phy,LibraryName,classification,query_validation
34949,-0.060743926,Negative,1,1,0.060743926,NA,NA,NA,NA
77068,0.059759549,Positive,2,1,0.059759549,"""Candidate Monohydroxylated bile acid (delta mass 137.0522; sirius atomic difference: 7C, 7H, 1N, 2O; buddy atomic difference: 4C, 11H, 1N, 2O, 1S)""",GNPS-BILE-ACID-MODIFICATIONS.mgf,NA,Did not pass stage1 filtering
30079,-0.059603276,Negative,3,1,0.059603276,NA,NA,NA,Did not pass stage1 filtering
51049,-0.056187644,Negative,4,1,0.056187644,"""Candidate Carnitine (delta mass 126.0933; sirius atomic difference: 8C, 14H, 1O; putative explanation: CAR C8:0)""",Carnitines_library_2025_testing_V2_MassQL_only.mgf,NA,Did not pass stage1 filtering
79392,0.054665944,Positive,5,1,0.054665944,NA,NA,NA,Did not pass stage1 filtering
40049,0.054286485,Positive,6,1,0.054286485,NA,NA,NA,Did not pass stage1 filtering
44954,0.053417231,Positive,7,1,0.053417231,NA,NA,NA,Did not pass stage1 filtering
7275,-0.05333897,Negative,8,1,0.05333897,NA,NA,NA,Did not pass stage1 filtering
39337,0.053295185,Positive,9,1,0.053295185,NA,NA,NA,Did not pass stage1 filtering
8058,0.052240785,Positive,10,1,0.052240785,5-methylindole-3-carboxaldehyde (known isomers: 0; isobaric peaks: 3),MULTIPLEX-SYNTHESIS-LIBRARY-FILTERED-PARTITION-1.mgf,NA,Did not pass stage1 filtering
122257,0.051747279,Positive,11,1,0.051747279,NA,NA,NA,Did not pass stage1 filtering
33253,0.05063104,Positive,12,1,0.05063104,NA,NA,NA,Did not pass stage1 filtering
22199,-0.050383733,Negative,13,1,0.050383733,NA,NA,NA,Did not pass stage1 filtering
34737,0.05022543,Positive,14,1,0.05022543,NA,NA,NA,Did not pass stage1 filtering
89371,0.050002185,Positive,15,1,0.050002185,PC(20:2/0:0); [M+H]+ C28H55N1O7P1,PNNL-LIPIDS-POSITIVE.mgf,NA,Did not pass stage1 filtering
99717,0.049980688,Positive,16,1,0.049980688,Spectral Match to Eicosapentaenoyl PAF C-16 from NIST14,GNPS-NIST14-MATCHES.mgf,NA,Did not pass stage1 filtering
34195,-0.049976455,Negative,17,1,0.049976455,NA,NA,NA,Did not pass stage1 filtering
20867,-0.049659834,Negative,18,1,0.049659834,Acetylhydrazine_Indole-3-pyruvic acid (known isomers: 0; isobaric peaks in run: 1),GNPS-ALKYLAMINES-LIBRARY.mgf,NA,Did not pass stage1 filtering
45663,0.04874881,Positive,19,1,0.04874881,NA,NA,NA,Did not pass stage1 filtering
52508,0.048624643,Positive,20,1,0.048624643,NA,NA,NA,Did not pass stage1 filtering
14167,-0.048421983,Negative,21,1,0.048421983,"""Candidate Carnitine (delta mass 128.0471; sirius atomic difference: 6C, 8H, 3O; buddy atomic difference: 6C, 8H, 3O; literature atomic difference: 6C, 8H, 3O; putative explanation: CAR C6:1;O2)""",Carnitines_library_2025_testing_V2_MassQL_only.mgf,NA,Did not pass stage1 filtering
34448,-0.048332977,Negative,22,1,0.048332977,NA,NA,NA,Did not pass stage1 filtering
42552,-0.048181363,Negative,23,1,0.048181363,"""Candidate Carnitine (delta mass 139.064; sirius atomic difference: 7C, 9H, 1N, 2O; buddy atomic difference: 7C, 9H, 1N, 2O; literature atomic difference: 7C, 9H, 1N, 2O)""",Carnitines_library_2025_testing_V2_MassQL_only.mgf,NA,Did not pass stage1 filtering
64948,0.048125367,Positive,24,1,0.048125367,"Massbank:EQ319004 2-Mercaptobenzothiazole|1,3-Benzothiazole-2(3H)-thione|3H-1,3-benzothiazole-2-thione",MASSBANK.mgf,NA,Did not pass stage1 filtering
35531,-0.048020295,Negative,25,1,0.048020295,NA,NA,NA,Did not pass stage1 filtering
52512,0.04795606,Positive,26,1,0.04795606,NA,NA,NA,Did not pass stage1 filtering
26313,-0.047758702,Negative,27,1,0.047758702,NA,NA,NA,Did not pass stage1 filtering
53074,0.047290977,Positive,28,1,0.047290977,NA,NA,NA,Did not pass stage1 filtering
58867,-0.047147674,Negative,29,1,0.047147674,NA,NA,NA,Did not pass stage1 filtering
26589,-0.047107538,Negative,30,1,0.047107538,NA,NA,NA,Did not pass stage1 filtering
77192,-0.046998964,Negative,31,1,0.046998964,"""Candidate Carnitine (delta mass 180.1512; sirius atomic difference: 12C, 20H, 1O; buddy atomic difference: 12C, 20H, 1O; literature atomic difference: 12C, 20H, 1O; putative explanation: CAR C12:1)""",Carnitines_library_2025_testing_V2_MassQL_only.mgf,NA,Did not pass stage1 filtering
22020,-0.046674811,Negative,32,1,0.046674811,NA,NA,NA,Did not pass stage1 filtering
24097,-0.046535146,Negative,33,1,0.046535146,NA,NA,NA,Did not pass stage1 filtering
41055,0.046530921,Positive,34,1,0.046530921,NA,NA,NA,Did not pass stage1 filtering
106337,0.046482095,Positive,35,1,0.046482095,Spectral Match to 1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine from NIST14,GNPS-NIST14-MATCHES.mgf,NA,Did not pass stage1 filtering
46330,0.046475829,Positive,36,1,0.046475829,NA,NA,NA,Did not pass stage1 filtering
29019,0.046255402,Positive,37,1,0.046255402,NA,NA,NA,Did not pass stage1 filtering
13449,0.045871812,Positive,38,1,0.045871812,3-Hydroxyhippuric acid_N-Phenylanthranilic acid (known isomers: 0; isobaric peaks: 1),MULTIPLEX-SYNTHESIS-LIBRARY-FILTERED-PARTITION-3.mgf,NA,Did not pass stage1 filtering
41779,-0.045791517,Negative,39,1,0.045791517,NA,NA,NA,Did not pass stage1 filtering
